BV,seq_len,ti_train,tf_train,ti_test,tf_test,NSE_train,MAE_train,NSE_val,MAE_val,NSE_test,MAE_test,training_finished,epoch,loss_fonction,training_time,nom
K1764020,30,1997-01-30,2005-01-15,2008-03-24,2012-12-31,0.9445444,0.19228926,0.76889324,0.31964782,0.8764381,0.2619348,True,141,MAE,86.35873460769653,Loic
K1764020,30,1997-01-30,2005-01-15,2008-03-24,2012-12-31,0.96079624,0.1926535,0.7766203,0.33178523,0.8721238,0.26544592,True,211,NSE,129.94572687149048,Loic
K4013010,7,1997-01-07,2004-12-28,2008-04-03,2012-12-31,0.79921556,0.21981828,-0.08683729,0.29368377,-0.87546754,0.3242291,True,132,MAE,34.694496393203735,Loic
K4013010,7,1997-01-07,2004-12-28,2008-04-03,2012-12-31,0.79280114,0.23835114,0.003817916,0.30030793,-1.2984617,0.33537924,True,129,NSE,34.07649064064026,Loic
K4013010,15,1997-01-15,2005-01-01,2008-04-05,2012-12-31,0.8693736,0.1459481,0.5569581,0.22169441,0.13480502,0.23986313,True,137,MAE,52.05596160888672,Loic
K4013010,15,1997-01-15,2005-01-01,2008-04-05,2012-12-31,0.8849913,0.1872105,0.39981967,0.25733227,-0.11557305,0.27235502,True,123,NSE,49.37163209915161,Loic
K4013010,30,1997-01-30,2005-01-09,2008-04-10,2012-12-31,0.9170799,0.107620716,0.69800955,0.1851379,0.3244446,0.21059044,True,163,MAE,102.74384069442748,Loic
K4013010,30,1997-01-30,2005-01-09,2008-04-10,2012-12-31,0.946035,0.12906003,0.7160246,0.17547795,0.48407358,0.19522668,True,195,NSE,119.08823084831238,Loic
L0914020,7,1997-01-07,2005-02-03,2008-03-28,2012-12-31,0.67368937,0.45937297,0.42828864,0.54343134,0.25653833,0.48629066,True,120,MAE,28.46770930290222,Loic
L0914020,7,1997-01-07,2005-02-03,2008-03-28,2012-12-31,0.71982956,0.48335156,0.43756628,0.56591296,0.23804802,0.52096283,True,148,NSE,33.95691752433777,Loic
L0914020,15,1997-01-15,2005-02-07,2008-03-30,2012-12-31,0.87684983,0.27981228,0.4586985,0.48936006,0.48023498,0.43191323,True,135,MAE,52.21370792388916,Loic
L0914020,15,1997-01-15,2005-02-07,2008-03-30,2012-12-31,0.86279523,0.3463832,0.5109619,0.47578043,0.5913482,0.4043792,True,123,NSE,47.914695262908936,Loic
L0914020,30,1997-01-30,2005-02-15,2008-04-04,2012-12-31,0.90009075,0.20069838,0.6287775,0.4038709,0.62601805,0.3314841,True,132,MAE,77.74447464942932,Loic
L0914020,30,1997-01-30,2005-02-15,2008-04-04,2012-12-31,0.94651884,0.20282373,0.6927748,0.36913306,0.59533906,0.34495,True,172,NSE,88.63523364067078,Loic
M0424810,7,1997-01-07,2005-01-03,2008-03-16,2012-12-31,0.5677052,0.14056908,-0.900661,0.15819049,-1.060224,0.17821811,True,99,MAE,18.05992674827576,Loic
M0424810,7,1997-01-07,2005-01-03,2008-03-16,2012-12-31,0.5995595,0.13947664,-1.6028588,0.18170463,-1.8576365,0.20337896,True,99,NSE,17.673665523529053,Loic
M0424810,15,1997-01-15,2005-01-07,2008-03-19,2012-12-31,0.70416737,0.12156465,-0.8366176,0.15075585,-1.2490606,0.16957255,True,99,MAE,30.329652309417725,Loic
M0424810,15,1997-01-15,2005-01-07,2008-03-19,2012-12-31,0.7204968,0.121966004,-1.3562634,0.18096037,-1.7193367,0.20063296,True,100,NSE,28.552675247192383,Loic
